Country,Capital,Language,Language family,Population,Area
Algeria,Algiers,"   Berber ,الجزائر — الجمهورية الجزائرية الديمقراطية الشعبية :Arabic",Afroasiatic,"40,400,000","2,381,741"
Angola,Luanda,"Kongo, Umbundu, Portuguese","Niger–Congo, Indo-European","25,789,024","1,246,700"
Benin,Porto-Novo,"Yoruba, French","Niger–Congo, Indo-European","10,872,298","114,763"
Botswana,Gaborone,"English, Tswana",Niger–Congo,"2,250,260","581,730"
Burkina Faso,Ouagadougou,"Mossi, French","Niger–Congo, Indo-European","20,107,509","274,200"
Burundi,Bujumbura,"Kirundi, French, Rundi","Niger–Congo, Indo-European","10,524,117","27,834"
Cameroon,Yaoundé,"English, French",Indo-European,"23,439,189","475,442"
Cape Verde,Praia,Portuguese,Indo-European,"539,560","4,033"
Central African Republic*,Bangui,"Sango, French",Ngbandi-based creole,"4,594,621","622,984"
Chad,N'Djamena,"Arabic, French",Afroasiatic,"13,670,084","1,284,000"
Comoros,Moroni,"Arabic, Comorian, French",Afroasiatic,"795,601","1,862"
Democratic Republic of the Congo,Kinshasa,"Lingala, Swahili, Tshiluba, French","Niger–Congo, Indo-European","78,736,153","2,345,409"
Republic of the Congo,Brazzaville,French,Indo-European,"5,125,821","342,000"
Djibouti,Djibouti City,"Arabic, French",Afroasiatic,"942,333","23,200"
Egypt,Cairo,Arabic,Afroasiatic,"97,036,700","1,010,408"
Equatorial Guinea,Malabo,French,Indo-European,"1,221,490","28,050"
Eritrea,Asmara,"Arabic, English, Tigrinya: ኤርትራ — ሃገረ ኤርትራ ",Afroasiatic,"4,954,645","117,600"
Ethiopia,Addis Ababa,"Amharic: Iትዮጵያ , Oromo, Tigrinya",Afroasiatic,"102,403,196","1,104,300"
Gabon,Libreville,French,Indo-European,"1,979,786","267,667"
Gambia,Banjul,"English, Wolof ","Indo-European, Niger–Congo","2,051,363","10,689"
Ghana,Accra,"Akan, English",Niger–Congo,"28,308,301","239,567"
Guinea,Conakry,French,Indo-European,"12,395,92","245,836"
Guinea-Bissau,Bissau,Portuguese,Indo-European,"1,815,698","36,125"
Ivory Coast,Yamoussoukro,French,Indo-European,"23,740,424","322,463"
Kenya,Nairobi,"Swahili, English","Niger–Congo, Indo-European","49,125,325","580,367"
Lesotho,Maseru,"Sesotho, English",Indo-European,"2,203,821","30,355"
Liberia,Monrovia,English,"Niger–Congo, Indo-European","4,503,000","111,369"
Libya,Tripoli,"Arabic, Berber",Afroasiatic,"6,293,253","1,759,541"
Madagascar,Antananarivo,"French, Malagasy","Indo-European, Austronesian","24,894,551","587,041"
Malawi,Lilongwe,"Chewa, English",Niger–Congo,"18,091,575","118,484"
Mali,Bamako,French,Indo-European,"14,517,176","1,240,192"
Mauritania,Nouakchott,"Arabic, Wolof ","Afroasiatic, Niger–Congo","4,301,018","1,030,000"
Mauritius,Port Louis,"English, French, Mauritian Creole",Indo-European,"1,262,132","2,040"
Morocco,Rabat,"Arabic, Berber",Afroasiatic,"35,740,000","710,850"
Mozambique,Maputo,Portuguese,Indo-European,"28,829,476","801,590"
Namibia,Windhoek,"English, German, Afrikaans",Indo-European,"2,606,971","825,615"
Niger,Niamey,"Hausa, French","Afroasiatic, Indo-European","20,672,987","1,267,000"
Nigeria,Abuja,"Hausa, Yoruba, English","Afroasiatic, Niger–Congo, Indo-European","185,989,640","923,768"
Rwanda,Kigali,"English, French, Kinyarwanda, Swahili",Niger–Congo,"11,262,564","26,338"
São Tomé and Príncipe,São Tomé,Portuguese,Indo-European,"199,910","1,001"
Senegal,Dakar,"French, Wolof ","Indo-European, Niger–Congo","15,411,614","196,712"
Seychelles,Victoria,"English, French, Seychellois Creole","Indo-European, Ngbandi-based creole","94,228",459
Sierra Leone,Freetown,English,Indo-European,"7,075,641","71,740"
Somalia,Mogadishu,"Arabic, Somali",Afroasiatic,"14,317,996","637,657"
South Africa,Bloemfontein,"Afrikaans, Ndebele,Tswana, Sesotho, Xhosa, Zulu","Indo-European, Niger–Congo","55,653,654","1,221,037"
South Sudan,Juba,English,Indo-European,"12,230,730","619,745"
Sudan,Khartoum,"Arabic, English",Afroasiatic,"39,578,828","1,886,068"
Swaziland,Lobamba,"English, Swazi",Indo-European,"1,343,098","17,364"
Tanzania,Dodoma,"English, Swahili",Niger–Congo,"55,572,201","947,303"
Togo,Lomé,French,Indo-European,"7,965,055","56,785"
Tunisia,Tunis,Arabic,Afroasiatic,"11,304,482","163,610"
Uganda,Kampala,"Swahili, Luganda, English",Niger-Congo,"41,487,965","241,038"
Zambia,Lusaka,English,Indo-European,"16,591,390","752,618"
Zimbabwe,Harare,"Chewa, Sesotho, Shona, Xhosa, English",Niger–Congo,"16,150,362","390,757"
