Country,Country Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,27.6,..,..,..,..,..,..
Angola,AGO,..,..,..,..,..,..,..,..,..,..,42.7,..,..,..,..,..,..,..,..,..
Benin,BEN,..,..,..,..,..,38.6,..,..,..,..,..,..,..,43.4,..,..,..,47.8,..,..
Botswana,BWA,..,..,..,..,64.7,..,..,..,..,..,..,60.5,..,..,..,..,..,..,..,..
Burundi,BDI,42.3,..,..,..,..,..,..,..,33.4,..,..,..,..,..,..,38.6,..,..,..,..
Burkina Faso,BFA,49.9,..,..,..,..,43.3,..,..,..,..,..,39.8,..,..,..,..,35.3,..,..,..
Cameroon,CMR,..,..,..,42.1,..,..,..,..,..,42.8,..,..,..,..,..,..,46.6,..,..,..
Central African Rep.,CAF,..,..,..,..,..,43.6,..,..,..,..,56.2,..,..,..,..,..,..,..,..,..
Chad,TCD,..,..,..,..,..,39.8,..,..,..,..,..,..,..,43.3,..,..,..,..,..,..
Comoros,COM,..,..,..,..,..,..,55.9,..,..,..,..,..,..,..,..,45.3,..,..,..,..
Democratic Republic of the Congo,COD,..,..,..,..,..,..,42.2,..,..,..,..,..,..,..,42.1,..,..,..,..,..
Republic of Congo,COG,..,..,..,..,..,..,..,47.3,..,..,..,..,..,48.9,..,..,..,..,..,..
Djibouti,DJI,..,..,..,..,40,..,..,..,..,..,..,..,..,..,45.1,44.1,..,..,..,..
Egypt,EGY,..,32.8,..,..,..,..,31.8,..,..,..,31.1,..,31.5,..,29.8,..,..,31.8,..,..
Eq. Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ethiopia,ETH,..,30,..,..,..,..,29.8,..,..,..,..,..,33.2,..,..,..,..,39.1,..,..
Gabon,GAB,..,..,..,..,..,..,..,42.2,..,..,..,..,..,..,..,..,..,..,..,..
Gambia,GMB,48.5,..,..,..,..,47.3,..,..,..,..,..,..,43.6,..,..,..,..,35.9,..,..
Ghana,GHA,40.1,..,..,..,..,..,..,42.8,..,..,..,..,..,..,42.4,..,..,..,..,..
Guinea,GIN,..,..,..,..,43,..,..,..,..,39.4,..,..,..,..,33.7,..,..,..,..,..
Guinea-Bissau,GNB,..,..,..,..,35.6,..,..,..,..,..,..,..,50.7,..,..,..,..,..,..,..
Kenya,KEN,..,..,..,..,..,..,..,48.5,..,..,..,..,..,..,..,..,..,..,..,..
Lesotho,LSO,..,..,..,..,51.6,..,..,..,..,..,..,..,54.2,..,..,..,..,..,..,..
Liberia,LBR,..,..,..,..,..,..,..,..,..,36.5,..,..,..,..,..,..,33.2,..,..,..
Madagascar,MDG,..,38.6,..,47.4,..,..,..,39.9,..,..,..,..,42.4,..,42.6,..,..,..,..,..
Malawi,MWI,..,..,..,..,..,..,39.9,..,..,..,..,..,45.5,..,..,..,..,..,..,..
Mali,MLI,..,..,..,39.9,..,..,..,..,38.9,..,..,33,..,..,..,..,..,..,..,..
Mauritania,MRT,..,..,39,..,..,..,40.2,..,..,..,35.7,..,..,..,..,..,32.6,..,..,..
Mauritius,MUS,..,..,..,..,..,..,..,..,35.7,..,..,..,..,..,35.8,..,..,..,..,..
Morocco,MAR,39.5,..,40.6,..,..,..,..,..,40.7,..,..,..,..,..,..,..,..,..,..,..
Mozambique,MOZ,..,..,..,..,47,..,..,..,..,..,45.6,..,..,..,..,..,54,..,..,..
Namibia,NAM,..,..,..,..,..,63.3,..,..,..,..,..,61,..,..,..,..,..,..,..,..
Niger,NER,..,..,..,..,..,..,..,44.4,..,37.3,..,..,..,31.5,..,..,34.3,..,..,..
Nigeria,NGA,..,..,..,..,..,40.1,..,..,..,..,..,43,..,..,..,..,..,..,..,..
Rwanda,RWA,..,..,48.5,..,..,..,..,52,..,..,..,..,51.3,..,..,50.4,..,..,..,..
Sao Tome and Principe,STP,..,..,32.1,..,..,..,..,..,..,..,..,..,30.8,..,..,..,..,..,..,..
Senegal,SEN,..,..,..,41.2,..,..,..,39.2,..,..,..,..,..,40.3,..,..,..,..,..,..
Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.8,..,..,..,..
Sierra Leone,SLE,..,..,..,..,..,40.2,..,..,..,..,..,..,..,34,..,..,..,..,..,..
South Africa,ZAF,..,..,57.8,..,..,..,..,64.8,..,..,63,..,63.4,..,..,..,63,..,..,..
S. Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,46.3,..,..,..,..,..,..,..,..
Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,35.4,..,..,..,..,..,..,..,..
Swaziland,SWZ,..,..,53.1,..,..,..,..,..,..,..,..,51.5,..,..,..,..,..,..,..,..
Tanzania,TZA,..,..,37.3,..,..,..,..,..,..,40.3,..,..,..,37.8,..,..,..,..,..,..
Togo,TGO,..,..,..,..,..,..,..,..,42.2,..,..,..,..,46,..,..,..,43.1,..,..
Tunisia,TUN,..,..,40.8,..,..,..,..,37.7,..,..,..,..,35.8,..,..,..,..,..,..,..
Uganda,UGA,..,43,..,..,45.2,..,..,42.9,..,..,..,44.2,..,..,41,..,..,..,..,..
Zambia,ZMB,49.1,..,..,..,42.1,..,54.3,..,54.6,..,..,..,55.6,..,..,..,..,57.1,..,..
Zimbabwe,ZWE,..,..,..,..,..,..,..,..,..,..,..,..,..,43.2,..,..,..,..,..,..
