Country,Country Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,..,..,..,..
Angola,AGO,..,..,..,..,..,..,..,..,..,..,6.6,..,..,..,..,..,..,..,..,..
Benin,BEN,..,..,..,..,..,3.7,..,..,..,..,..,..,..,5,..,..,..,5.2,..,..
Botswana,BWA,..,..,..,..,0.5,..,..,..,..,..,..,0.4,..,..,..,..,..,..,..,..
Burundi,BDI,5.2,..,..,..,..,..,..,..,6,..,..,..,..,..,..,7.1,..,..,..,..
Burkina Faso,BFA,9,..,..,..,..,7.2,..,..,..,..,..,8.4,..,..,..,..,7.7,..,..,..
Cameroon,CMR,..,..,..,3.6,..,..,..,..,..,5.4,..,..,..,..,..,..,5.3,..,..,..
Central African Rep.,CAF,..,..,..,..,..,2.6,..,..,..,..,2.9,..,..,..,..,..,..,..,..,..
Chad,TCD,..,..,..,..,..,5.9,..,..,..,..,..,..,..,4.7,..,..,..,..,..,..
Comoros,COM,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,0.1,..,..,..,..
Democratic Republic of the Congo,COD,..,..,..,..,..,..,51.5,..,..,..,..,..,..,..,53.2,..,..,..,..,..
Republic of Congo,COG,..,..,..,..,..,..,..,1.9,..,..,..,..,..,1.7,..,..,..,..,..,..
Djibouti,DJI,..,..,..,..,0.2,..,..,..,..,..,..,..,..,..,0.2,0.2,..,..,..,..
Egypt,EGY,..,1.4,..,..,..,..,3.3,..,..,..,3.2,..,2.5,..,2,..,..,1.3,..,..
Eq. Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ethiopia,ETH,..,36.9,..,..,..,..,27.1,..,..,..,..,..,29.4,..,..,..,..,27.4,..,..
Gabon,GAB,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,..,..,..
Gambia,GMB,0.8,..,..,..,..,0.6,..,..,..,..,..,..,0.4,..,..,..,..,0.2,..,..
Ghana,GHA,6.4,..,..,..,..,..,..,5.4,..,..,..,..,..,..,3.2,..,..,..,..,..
Guinea,GIN,..,..,..,..,5.6,..,..,..,..,6,..,..,..,..,4,..,..,..,..,..
Guinea-Bissau,GNB,..,..,..,..,0.7,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..
Kenya,KEN,..,..,..,..,..,..,..,15.4,..,..,..,..,..,..,..,..,..,..,..,..
Lesotho,LSO,..,..,..,..,1.2,..,..,..,..,..,..,..,1.2,..,..,..,..,..,..,..
Liberia,LBR,..,..,..,..,..,..,..,..,..,2.4,..,..,..,..,..,..,1.7,..,..,..
Madagascar,MDG,..,9.8,..,11.2,..,..,..,13.2,..,..,..,..,16.6,..,17.3,..,..,..,..,..
Malawi,MWI,..,..,..,..,..,..,9.2,..,..,..,..,..,10.8,..,..,..,..,..,..,..
Mali,MLI,..,..,..,6.6,..,..,..,..,6.8,..,..,7.5,..,..,..,..,..,..,..,..
Mauritania,MRT,..,..,0.5,..,..,..,0.4,..,..,..,0.4,..,..,..,..,..,0.2,..,..,..
Mauritius,MUS,..,..,..,..,..,..,..,..,0,..,..,..,..,..,0,..,..,..,..,..
Morocco,MAR,2.1,..,1.8,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..
Mozambique,MOZ,..,..,..,..,15.4,..,..,..,..,..,16.2,..,..,..,..,..,17.1,..,..,..
Namibia,NAM,..,..,..,..,..,0.6,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..
Niger,NER,..,..,..,..,..,..,..,10.2,..,10.6,..,..,..,8.6,..,..,8.5,..,..,..
Nigeria,NGA,..,..,..,..,..,72.4,..,..,..,..,..,84.8,..,..,..,..,..,..,..,..
Rwanda,RWA,..,..,6.1,..,..,..,..,6.2,..,..,..,..,6.4,..,..,6.8,..,..,..,..
Sao Tome and Principe,STP,..,..,0,..,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..
Senegal,SEN,..,..,..,5,..,..,..,4.4,..,..,..,..,..,5.1,..,..,..,..,..,..
Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
Sierra Leone,SLE,..,..,..,..,..,3.3,..,..,..,..,..,..,..,3.5,..,..,..,..,..,..
South Africa,ZAF,..,..,14.8,..,..,..,..,11.9,..,..,8.5,..,8.4,..,..,..,10.4,..,..,..
S. Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,4.1,..,..,..,..,..,..,..,..
Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,5,..,..,..,..,..,..,..,..
Swaziland,SWZ,..,..,0.5,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..
Tanzania,TZA,..,..,29.4,..,..,..,..,..,..,25.1,..,..,..,24.1,..,..,..,..,..,..
Togo,TGO,..,..,..,..,..,..,..,..,3.2,..,..,..,..,3.6,..,..,..,3.6,..,..
Tunisia,TUN,..,..,0.5,..,..,..,..,0.3,..,..,..,..,0.2,..,..,..,..,..,..,..
Uganda,UGA,..,15.9,..,..,16.5,..,..,15.8,..,..,..,14.2,..,..,13,..,..,..,..,..
Zambia,ZMB,4.2,..,..,..,5.6,..,6.8,..,7.5,..,..,..,8.9,..,..,..,..,9.3,..,..
Zimbabwe,ZWE,..,..,..,..,..,..,..,..,..,..,..,..,..,3.1,..,..,..,..,..,..
